date/time: ,24/10/2025,09:46
Run 1

time	(LX)
0,000000	5,577782E+3
0,006667	4,761829E+3
0,013333	4,217861E+3
0,020000	3,698618E+3
0,026667	3,698618E+3
0,033333	4,020054E+3
0,040000	3,995328E+3
0,046667	4,217861E+3
0,053333	4,217861E+3
0,060000	4,366216E+3
0,066667	4,415667E+3
0,073333	4,687652E+3
0,080000	4,959636E+3
0,086667	5,083265E+3
0,093333	5,058539E+3
0,100000	5,058539E+3
0,106667	4,910184E+3
0,113333	4,984362E+3
0,120000	4,860733E+3
0,126667	5,058539E+3
0,133333	5,058539E+3
0,140000	5,132717E+3
0,146667	5,404701E+3
0,153333	5,750863E+3
0,160000	5,948669E+3
0,166667	6,245380E+3
0,173333	6,319557E+3
0,180000	6,566815E+3
0,186667	6,591541E+3
0,193333	6,715170E+3
0,200000	6,715170E+3
0,206667	6,690445E+3
0,213333	6,863526E+3
0,220000	7,011881E+3
0,226667	7,209687E+3
0,233333	7,234413E+3
0,240000	7,283865E+3
0,246667	7,333316E+3
0,253333	7,432220E+3
0,260000	7,407494E+3
0,266667	7,407494E+3
0,273333	7,506397E+3
0,280000	7,407494E+3
0,286667	7,580575E+3
0,293333	7,531123E+3
0,300000	7,654752E+3
0,306667	7,580575E+3
0,313333	7,531123E+3
0,320000	7,630027E+3
0,326667	7,630027E+3
0,333333	7,580575E+3
0,340000	7,630027E+3
0,346667	7,630027E+3
0,353333	7,654752E+3
0,360000	7,580575E+3
0,366667	7,580575E+3
0,373333	7,728930E+3
0,380000	7,753656E+3
0,386667	7,605301E+3
0,393333	7,728930E+3
0,400000	7,679478E+3
0,406667	7,679478E+3
0,413333	7,803107E+3
0,420000	7,728930E+3
0,426667	8,149269E+3
0,433333	8,272898E+3
0,440000	8,421253E+3
0,446667	8,445979E+3
0,453333	8,470705E+3
0,460000	8,520157E+3
0,466667	8,470705E+3
0,473333	8,619060E+3
0,480000	8,693238E+3
0,486667	8,742689E+3
0,493333	8,816867E+3
0,500000	9,014674E+3
0,506667	8,915770E+3
0,513333	9,039399E+3
0,520000	8,915770E+3
0,526667	8,915770E+3
0,533333	8,717963E+3
0,540000	8,742689E+3
0,546667	8,717963E+3
0,553333	8,544883E+3
0,560000	8,544883E+3
0,566667	8,495431E+3
0,573333	8,347076E+3
0,580000	8,322350E+3
0,586667	8,347076E+3
0,593333	8,173995E+3
0,600000	8,322350E+3
0,606667	8,075092E+3
0,613333	8,149269E+3
0,620000	8,149269E+3
0,626667	8,198721E+3
0,633333	8,223447E+3
0,640000	8,322350E+3
0,646667	8,272898E+3
0,653333	8,445979E+3
0,660000	8,470705E+3
0,666667	8,569608E+3
0,673333	8,594334E+3
0,680000	8,520157E+3
0,686667	8,470705E+3
0,693333	8,520157E+3
0,700000	8,544883E+3
0,706667	8,520157E+3
0,713333	8,569608E+3
0,720000	8,619060E+3
0,726667	8,594334E+3
0,733333	8,767415E+3
0,740000	8,693238E+3
0,746667	8,792141E+3
0,753333	8,767415E+3
0,760000	8,866319E+3
0,766667	8,742689E+3
0,773333	8,891044E+3
0,780000	8,891044E+3
0,786667	8,989948E+3
0,793333	9,014674E+3
0,800000	9,113577E+3
0,806667	9,237206E+3
0,813333	9,286658E+3
0,820000	9,311384E+3
0,826667	9,385561E+3
0,833333	9,731723E+3
0,840000	9,533916E+3
0,846667	9,212480E+3
0,853333	9,064125E+3
0,860000	9,212480E+3
0,866667	9,212480E+3
0,873333	9,410287E+3
0,880000	9,459739E+3
0,886667	9,533916E+3
0,893333	9,657545E+3
0,900000	9,682271E+3
0,906667	9,731723E+3
0,913333	9,830626E+3
0,920000	9,855352E+3
0,926667	9,805900E+3
0,933333	9,904804E+3
0,940000	9,978981E+3
0,946667	9,978981E+3
0,953333	1,000371E+4
0,960000	1,020151E+4
0,966667	1,025097E+4
0,973333	1,034987E+4
0,980000	1,049822E+4
0,986667	1,064658E+4
0,993333	1,067130E+4
1,000000	1,096801E+4
1,006667	1,119055E+4
1,013333	1,180869E+4
1,020000	1,250102E+4
1,026667	1,326752E+4
1,033333	1,349005E+4
1,040000	1,363841E+4
1,046667	1,349005E+4
1,053333	1,353950E+4
1,060000	1,356423E+4
1,066667	1,356423E+4
1,073333	1,361368E+4
1,080000	1,358895E+4
1,086667	1,358895E+4
1,093333	1,356423E+4
1,100000	1,363841E+4
1,106667	1,353950E+4
1,113333	1,341587E+4
1,120000	1,346532E+4
1,126667	1,326752E+4
1,133333	1,341587E+4
1,140000	1,324279E+4
1,146667	1,334170E+4
1,153333	1,334170E+4
1,160000	1,319334E+4
1,166667	1,309444E+4
1,173333	1,274828E+4
1,180000	1,287190E+4
1,186667	1,277300E+4
1,193333	1,274828E+4
1,200000	1,277300E+4
1,206667	1,277300E+4
1,213333	1,264937E+4
1,220000	1,294608E+4
1,226667	1,274828E+4
1,233333	1,287190E+4
1,240000	1,274828E+4
1,246667	1,272355E+4
1,253333	1,277300E+4
1,260000	1,277300E+4
1,266667	1,277300E+4
1,273333	1,269882E+4
1,280000	1,274828E+4
1,286667	1,274828E+4
1,293333	1,284718E+4
1,300000	1,282245E+4
1,306667	1,269882E+4
1,313333	1,267410E+4
1,320000	1,272355E+4
1,326667	1,277300E+4
1,333333	1,264937E+4
1,340000	1,269882E+4
1,346667	1,267410E+4
1,353333	1,282245E+4
1,360000	1,279773E+4
1,366667	1,277300E+4
1,373333	1,294608E+4
1,380000	1,302026E+4
1,386667	1,321807E+4
1,393333	1,341587E+4
1,400000	1,366313E+4
1,406667	1,400929E+4
1,413333	1,460271E+4
1,420000	1,472634E+4
1,426667	1,536921E+4
1,433333	1,625934E+4
1,440000	1,759454E+4
1,446667	1,974569E+4
1,453333	2,305895E+4
1,460000	2,750960E+4
1,466667	3,294929E+4
1,473333	3,801808E+4
1,480000	4,143025E+4
1,486667	4,340832E+4
1,493333	4,385338E+4
1,500000	4,407591E+4
1,506667	4,511440E+4
1,513333	4,610343E+4
1,520000	4,711719E+4
1,526667	4,768589E+4
1,533333	4,798260E+4
1,540000	4,751281E+4
1,546667	4,667213E+4
1,553333	4,565837E+4
1,560000	4,504022E+4
1,566667	4,439735E+4
1,573333	4,286435E+4
1,580000	4,118299E+4
1,586667	4,049067E+4
1,593333	4,029286E+4
1,600000	4,004560E+4
1,606667	3,955109E+4
1,613333	3,935328E+4
1,620000	3,908129E+4
1,626667	3,888349E+4
1,633333	3,898239E+4
1,640000	3,989725E+4
1,646667	4,011978E+4
1,653333	3,915547E+4
1,660000	3,898239E+4
1,666667	3,960054E+4
1,673333	3,982307E+4
1,680000	3,913075E+4
1,686667	3,895767E+4
1,693333	3,935328E+4
1,700000	3,977362E+4
1,706667	3,945218E+4
1,713333	3,888349E+4
1,720000	3,920492E+4
1,726667	3,947691E+4
1,733333	3,937800E+4
1,740000	3,920492E+4
1,746667	3,903184E+4
1,753333	3,940273E+4
1,760000	3,942746E+4
1,766667	3,920492E+4
1,773333	3,905657E+4
1,780000	3,937800E+4
1,786667	3,930383E+4
1,793333	3,922965E+4
1,800000	3,908129E+4
1,806667	3,935328E+4
1,813333	3,940273E+4
1,820000	3,920492E+4
1,826667	3,905657E+4
1,833333	3,910602E+4
1,840000	3,940273E+4
1,846667	3,927910E+4
1,853333	3,922965E+4
1,860000	3,915547E+4
1,866667	3,913075E+4
1,873333	3,920492E+4
1,880000	3,925438E+4
1,886667	3,918020E+4
1,893333	3,925438E+4
1,900000	3,922965E+4
1,906667	3,925438E+4
1,913333	3,920492E+4
1,920000	3,920492E+4
1,926667	3,918020E+4
1,933333	3,927910E+4
1,940000	3,913075E+4
1,946667	3,930383E+4
1,953333	3,932855E+4
1,960000	3,922965E+4
1,966667	3,915547E+4
1,973333	3,918020E+4
1,980000	3,915547E+4
1,986667	3,913075E+4
1,993333	3,920492E+4
2,000000	3,925438E+4
2,006667	3,900712E+4
2,013333	3,930383E+4
2,020000	3,910602E+4
2,026667	3,920492E+4
2,033333	3,913075E+4
2,040000	3,913075E+4
2,046667	3,905657E+4
2,053333	3,925438E+4
2,060000	3,915547E+4
2,066667	3,925438E+4
2,073333	3,918020E+4
2,080000	3,905657E+4
2,086667	3,908129E+4
2,093333	3,920492E+4
2,100000	3,925438E+4
2,106667	3,905657E+4
2,113333	3,908129E+4
2,120000	3,905657E+4
2,126667	3,905657E+4
2,133333	3,910602E+4
2,140000	3,927910E+4
2,146667	3,920492E+4
2,153333	3,918020E+4
2,160000	3,913075E+4
2,166667	3,908129E+4
2,173333	3,915547E+4
2,180000	3,905657E+4
2,186667	3,920492E+4
2,193333	3,910602E+4
2,200000	3,918020E+4
2,206667	3,908129E+4
2,213333	3,915547E+4
2,220000	3,910602E+4
2,226667	3,905657E+4
2,233333	3,925438E+4
2,240000	3,908129E+4
2,246667	3,925438E+4
2,253333	3,910602E+4
2,260000	3,903184E+4
2,266667	3,893294E+4
2,273333	3,913075E+4
2,280000	3,905657E+4
2,286667	3,913075E+4
2,293333	3,918020E+4
2,300000	3,900712E+4
2,306667	3,920492E+4
2,313333	3,910602E+4
2,320000	3,918020E+4
2,326667	3,905657E+4
2,333333	3,913075E+4
2,340000	3,908129E+4
2,346667	3,920492E+4
2,353333	3,898239E+4
2,360000	3,918020E+4
2,366667	3,918020E+4
2,373333	3,908129E+4
2,380000	3,905657E+4
2,386667	3,903184E+4
2,393333	3,925438E+4
2,400000	3,910602E+4
2,406667	3,908129E+4
2,413333	3,903184E+4
2,420000	3,913075E+4
2,426667	3,913075E+4
2,433333	3,900712E+4
2,440000	3,913075E+4
2,446667	3,900712E+4
2,453333	3,905657E+4
2,460000	3,895767E+4
2,466667	3,915547E+4
2,473333	3,915547E+4
2,480000	3,913075E+4
2,486667	3,898239E+4
2,493333	3,898239E+4
2,500000	3,920492E+4
2,506667	3,918020E+4
2,513333	3,905657E+4
2,520000	3,905657E+4
2,526667	3,910602E+4
2,533333	3,908129E+4
2,540000	3,905657E+4
2,546667	3,913075E+4
2,553333	3,905657E+4
2,560000	3,915547E+4
2,566667	3,890821E+4
2,573333	3,905657E+4
2,580000	3,905657E+4
2,586667	3,908129E+4
2,593333	3,888349E+4
2,600000	3,898239E+4
2,606667	3,903184E+4
2,613333	3,903184E+4
2,620000	3,910602E+4
2,626667	3,890821E+4
2,633333	3,910602E+4
2,640000	3,908129E+4
2,646667	3,913075E+4
2,653333	3,900712E+4
2,660000	3,922965E+4
2,666667	3,893294E+4
2,673333	3,898239E+4
2,680000	3,908129E+4
2,686667	3,910602E+4
2,693333	3,913075E+4
2,700000	3,908129E+4
2,706667	3,903184E+4
2,713333	3,908129E+4
2,720000	3,895767E+4
2,726667	3,910602E+4
2,733333	3,918020E+4
2,740000	3,898239E+4
2,746667	3,905657E+4
2,753333	3,898239E+4
2,760000	3,898239E+4
2,766667	3,908129E+4
2,773333	3,905657E+4
2,780000	3,890821E+4
2,786667	3,903184E+4
2,793333	3,910602E+4
2,800000	3,915547E+4
2,806667	3,913075E+4
2,813333	3,893294E+4
2,820000	3,903184E+4
2,826667	3,908129E+4
2,833333	3,908129E+4
2,840000	3,903184E+4
2,846667	3,893294E+4
2,853333	3,913075E+4
2,860000	3,893294E+4
2,866667	3,903184E+4
2,873333	3,903184E+4
2,880000	3,905657E+4
2,886667	3,895767E+4
2,893333	3,900712E+4
2,900000	3,898239E+4
2,906667	3,900712E+4
2,913333	3,908129E+4
2,920000	3,893294E+4
2,926667	3,900712E+4
2,933333	3,905657E+4
