Vpp emit (V),Vpp_rec (mV),frec_emi(kHz),Escala Vpp emi (V),Escala Vpp reci(mV),Escala Temporal(mus),promedio,frec_GF
"15,09","10,1",39,5,5,10,16,39
15,"20,48","39,5",5,5,10,,"39,5"
"14,9","47,53",40,5,10,10,,40
"14,93","53,41","40,1",5,15,10,,"40,1"
"14,94","44,89","40,2",5,15,10,,"40,2"
"14,97","40,05","40,24",5,15,10,,"40,25"
"14,99","39,97","40,33",5,15,10,,"40,3"
"14,93","53,59","40,11",5,15,10,,"40,11"
"14,93","48,98","40,12",5,15,10,,"40,12"
"14,93","48,64","40,13",5,15,10,,"40,13"
