distancia y (mm),distancia L (cm),error L,Vpp rec (mV),Escala Vpp (mV),Escala tiempo (mu),promedio,Vpp emi (V),Freciencia emi,piesoelectricos A,distanciaa y (mm),distanciaa L (cm),,distacia centro borde(mm)
105,"88,5","-0,5",,10,10,64,"15,03","40,6",,315,"88,5","302,5",125
200,,,,10,10,,,,,,,,
300,,,,10,10,,,,,,,,
400,,,,10,10,,,,,,,,
500,,,,10,10,,,,,,,,
100,,,,10,10,,,,,,,,
"12,5",,,"294,3",10,10,,,,,,,,
"22,5",,,"305,2",10,10,,,,,,,,
"32,5",,,"594,5",10,10,,,,,,,,
"42,5",,,640,10,10,,,,,,,,
"52,5",,,671,100,,,,,,,,,
"62,5",,,"702,1",100,,,,,,,,,
"72,5",,,545,100,,,,,,,,,
"82,5",,,"451,1",100,,,,,,,,,
"92,5",,,"277,7",100,,,,,,,,,
"102,5",,,"171,1",100,,,,,,,,,
"112,5",,,"194,5",100,,,,,,,,,
"122,5",,,"455,2",100,,,,,,,,,
"132,5",,,581,,,,,,,,,,
"142,5",,,683,,,,,,,,,,
"152,5",,,"750,7",,,,,,,,,,
"162,5",,,"746,5",,,,,,,,,,
"172,5",,,"526,1",,,,,,,,,,
"182,5",,,"369,2",,,,,,,,,,
"192,5",,,"177,7",,,,,,,,,,
"202,5",,,"147,7",,,,,,,,,,
"212,5",,,"388,8",,,,,,,,,,
"222,5",,,"603,7",,,,,,,,,,
"232,5",,,"837,7",,,,,,,,,,
"242,5",,,"875,9",,,,,,,,,,
"252,5",,,"900,2",,,,,,,,,,
"262,5",,,"772,2",,,,,,,,,,
"272,5",,,570,,,,,,,,,,
"282,5",,,"339,4",,,,,,,,,,
"292,5",,,"168,7",,,,,,,,,,
"302,5",,,"73,95",,,,,,,,,,
"312,5",,,"354,4",,,,,,,,,,
"322,5",,,"543,4",,,,,,,,,,
"332,5",,,"749,6",,,,,,,,,,
"342,5",,,"774,3",,,,,,,,,,
"352,5",,,"816,7",,,,,,,,,,
"362,5",,,"724,1",,,,,,,,,,
"372,5",,,"607,8",,,,,,,,,,
"382,5",,,"351,7",,,,,,,,,,
"392,5",,,"180,2",,,,,,,,,,
"402,5",,,108,,,,,,,,,,
"412,5",,,"341,8",,,,,,,,,,
"422,5",,,"552,5",,,,,,,,,,
"432,5",,,"827,4",,,,,,,,,,
"442,5",,,"758,3",,,,,,,,,,
"452,5",,,"731,9",,,,,,,,,,
"462,5",,,"642,7",,,,,,,,,,
"472,5",,,379,,,,,,,,,,
"482,5",,,"271,7",,,,,,,,,,
"492,5",,,120,,,,,,,,,,
"502,5",,,"90,97",,,,,,,,,,
